TIME(s), ROOM SIZE, GENERATED ROOM, ARCHETYPE, GENERATION BIAS,PARENT,TREE LAYER
282.4588,3x2,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x2 Rectangle Archetype ,36
283.1858,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x3 Rectangle Archetype ,37
283.3443,3x2,2x1 Rhombus Sample Room Variant(Clone),2x1 Rhombus Archetype ,10,1x2 Rectangle Archetype ,38
284.0849,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,38
284.454,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,39
284.7903,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x2 Rectangle Archetype ,40
285.1406,3x2,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x1 Square Archetype ,41
285.5163,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x3 Rectangle Archetype ,42
286.0459,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x3 Rectangle Archetype ,42
286.2466,3x2,2x2 L Sample Room Variant(Clone),2x2 L Archetype ,20,1x1 Square Archetype ,43
287.6903,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x1 Square Archetype ,43
288.056,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x1 Square Archetype ,44
288.3953,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,45
288.9557,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x2 Rectangle Archetype ,45
289.1096,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x1 Square Archetype ,46
289.4951,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x1 Square Archetype ,47
289.8423,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x1 Square Archetype ,48
290.1896,3x2,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x1 Square Archetype ,49
290.5525,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x2 Rectangle Archetype ,50
290.9043,3x2,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x1 Square Archetype ,51
